id,SalePrice
1461,114739.9249
1462,156474.185494
1463,177455.093286
1464,198418.218582
1465,191163.219415
1466,170701.544207
1467,168771.811569
1468,159904.401092
1469,189476.94497
1470,120257.932353
1471,188598.075278
1472,98452.9929077
1473,99423.1911688
1474,147036.556109
1475,119713.554109
1476,363896.263823
1477,248209.083067
1478,270635.717524
1479,260837.692577
1480,519686.528559
1481,319317.673704
1482,202945.078765
1483,171226.355848
1484,161853.697406
1485,179541.864724
1486,195240.448216
1487,320351.692595
1488,235374.897734
1489,192168.323248
1490,230790.963004
1491,190277.512383
1492,91148.2904972
1493,170652.965644
1494,282486.277556
1495,283116.418385
1496,238694.960272
1497,179417.306119
1498,165318.244184
1499,160775.386437
1500,154535.037439
1501,179168.000157
1502,145936.704004
1503,263408.192177
1504,239588.383596
1505,226619.454149
1506,185314.044256
1507,256550.708804
1508,191260.517694
1509,157501.413959
1510,143062.194009
1511,149216.059154
1512,177770.699494
1513,141988.096561
1514,164530.375017
1515,206070.14942
1516,154552.955902
1517,165583.976106
1518,128352.590744
1519,218265.461685
1520,128653.018014
1521,133927.778115
1522,175995.215195
1523,112064.331031
1524,123914.511991
1525,123337.647817
1526,110604.068269
1527,104802.862487
1528,137974.993693
1529,147350.953012
1530,185931.258305
1531,104227.472884
1532,95052.3309195
1533,148354.293951
1534,127587.90154
1535,145883.82212
1536,108908.4723
1537,55021.7929954
1538,154730.262926
1539,195091.868726
1540,94211.517654
1541,135563.727594
1542,139188.868362
1543,191687.398928
1544,83144.131351
1545,114921.789788
1546,126112.886669
1547,130835.354087
1548,134729.754706
1549,114964.143967
1550,129556.306778
1551,108436.205445
1552,132843.059529
1553,152415.024033
1554,122941.306637
1555,154288.315731
1556,83175.1993873
1557,105946.03048
1558,99230.1764082
1559,78205.3709182
1560,127316.965985
1561,131212.825786
1562,129809.647999
1563,119997.041542
1564,161304.630625
1565,142581.827929
1566,218988.748901
1567,72749.9789476
1568,228390.549624
1569,123596.627207
1570,137322.991303
1571,120036.687221
1572,144825.903777
1573,239810.64782
1574,117264.096757
1575,232132.076615
1576,230575.00323
1577,180375.966729
1578,136578.619981
1579,143195.042671
1580,188216.684359
1581,151479.20271
1582,125791.867033
1583,316244.091986
1584,223032.802221
1585,139689.469451
1586,74741.6703451
1587,100055.040934
1588,155321.242885
1589,92249.7674197
1590,138590.527926
1591,96040.9842888
1592,112851.246167
1593,124300.000321
1594,144426.848396
1595,103702.934091
1596,226180.759687
1597,185550.30636
1598,208545.053883
1599,165009.808904
1600,162772.624904
1601,65511.1258446
1602,112747.293286
1603,87039.7282314
1604,262974.092096
1605,248141.987008
1606,169652.32191
1607,176188.684335
1608,204376.09203
1609,183666.608998
1610,144996.142439
1611,135869.206304
1612,169445.43875
1613,161337.832986
1614,121408.840464
1615,89204.4115566
1616,78954.2397589
1617,97134.8329588
1618,125928.369951
1619,139132.673242
1620,161635.582353
1621,136551.185586
1622,140571.344093
1623,266697.367477
1624,209492.868241
1625,121540.883874
1626,168006.702768
1627,189524.772743
1628,280789.542921
